id,date,totKm,eLiter,euros,liters,km
1,24-04-2010,23678,1.180,42.00,35.59,450
2,16-05-2010,24058,1.200,43.00,35.83,380
3,27-05-2010,24488,1.160,44.00,37.93,430
4,12-06-2010,24960,1.180,45.00,38.14,472
5,28-06-2010,25334,1.170,40.00,34.19,374
6,21-07-2010,25729,1.180,39.00,33.05,395
7,03-09-2010,26323,1.160,40.00,34.48,594
8,27-09-2010,26892,1.150,39.00,33.91,569
9,19-10-2010,27268,1.180,37.00,31.36,376
10,08-11-2010,27671,1.170,41.00,35.04,403
11,23-11-2010,28119,1.190,43.00,36.13,448
12,04-12-2010,28526,1.250,45.00,36.00,407
13,17-12-2010,28957,1.250,45.00,36.00,431
14,05-01-2011,29334,1.260,44.00,34.92,377
15,24-01-2011,29762,1.260,46.50,36.90,428
16,16-02-2011,30193,1.280,48.00,37.50,431
17,08-03-2011,30649,1.330,48.00,36.09,456
18,01-04-2011,31142,1.354,52.51,38.78,493
19,16-04-2011,31622,1.354,50.00,38.00,480
20,09-05-2011,32103,1.342,50.02,37.27,481
21,27-05-2011,32583,1.358,50.29,37.03,480
22,09-06-2011,33093,1.317,51.01,38.73,510
23,28-06-2011,33545,1.308,48.00,36.70,452
24,11-07-2011,33959,1.345,50.01,37.18,414
25,08-09-2011,34451,1.349,52.00,38.55,492
26,28-09-2011,34908,1.314,50.00,38.05,457
27,11-10-2011,35362,1.339,50.00,37.34,454
28,24-10-2011,35900,1.312,49.02,37.36,538
29,10-11-2011,36312,1.325,50.50,38.11,412
30,21-11-2011,36794,1.295,48.01,37.07,482
31,07-12-2011,37169,1.295,40.02,30.90,375
32,22-12-2011,37580,1.295,45.00,34.75,411
33,09-01-2012,38015,1.368,45.01,32.90,435
34,20-01-2012,38439,1.383,48.00,34.71,424
35,16-02-2012,38825,1.409,46.03,32.67,386
36,10-03-2012,39178,1.347,46.50,34.52,353
37,29-03-2012,39612,1.505,50.01,33.23,434
38,21-04-2012,40033,1.479,55.00,37.19,421
39,19-05-2012,40466,1.349,48.00,35.58,433
40,30-05-2012,40957,1.416,53.02,37.44,491
41,17-06-2012,41363,1.360,48.01,35.30,406
42,26-07-2012,42103,1.389,50.00,36.00,740
43,12-08-2012,42495,1.459,46.00,31.53,392
44,18-08-2012,43153,1.459,46.00,31.53,658
45,21-08-2012,43810,1.486,53.02,35.68,657
46,23-08-2012,44297,1.549,56.00,36.15,487
47,28-08-2012,44765,1.480,52.60,35.54,468
48,14-09-2012,45154,1.485,52.00,35.02,389
49,12-10-2012,45472,1.518,50.00,32.94,318
50,14-10-2012,46000,1.539,55.02,35.75,528
51,31-10-2012,46481,1.382,47.02,34.02,481
52,26-11-2012,46808,1.389,46.02,33.13,327
53,13-12-2012,47112,1.374,44.23,32.19,304
54,06-01-2013,47387,1.418,43.02,30.34,275
55,22-01-2013,47657,1.410,48.01,34.05,270
56,24-02-2013,47953,1.484,39.00,26.28,296
57,23-03-2013,48197,1.456,50.03,34.36,244
58,27-03-2013,48691,1.440,46.35,32.19,494
59,29-03-2013,49200,1.498,53.06,35.42,509
60,31-03-2013,49691,1.487,51.09,34.36,491
61,18-04-2013,50078,1.401,43.36,30.95,387
62,01-05-2013,50479,1.443,49.81,34.52,401
63,04-05-2013,51032,1.388,52.56,37.87,553
64,15-06-2013,51381,1.435,50.76,35.37,349
65,03-07-2013,51771,1.413,45.50,32.20,390
66,06-07-2013,52044,1.443,33.97,23.54,273
67,07-07-2013,52341,1.422,28.13,19.78,297
68,28-07-2013,52810,1.479,56.66,38.31,469
69,11-08-2013,53171,1.479,53.17,35.95,361
70,13-08-2013,53705,1.479,52.18,35.28,534
71,17-08-2013,54182,1.489,50.00,33.58,477
72,20-08-2013,54676,1.499,52.38,34.94,494
73,22-08-2013,55072,1.489,42.21,28.35,396
74,09-09-2013,55512,1.448,48.09,33.21,440
75,19-03-2014,57954,1.369,43.86,32.04,2442
76,15-05-2014,58286,1.419,47.82,33.70,332
77,16-05-2014,58754,1.349,42.01,31.14,468
78,18-05-2014,59251,1.464,55.00,37.57,497
79,28-06-2014,59634,1.459,51.05,34.99,383
80,25-07-2014,59969,1.414,47.03,33.26,335
81,27-07-2014,60547,1.422,48.00,33.76,578
82,03-08-2014,61140,1.399,47.06,33.64,593
83,14-08-2014,62013,1.461,51.92,35.54,873
84,28-08-2014,62453,1.349,49.35,36.58,440
85,03-09-2014,62996,1.409,54.01,38.33,543
86,07-11-2014,63439,1.329,47.51,35.75,443
87,27-12-2014,63884,1.109,38.16,34.41,445
88,28-02-2015,64304,1.244,42.72,34.34,420
89,18-03-2015,64691,1.319,37.47,28.41,387
90,23-03-2015,65400,1.299,42.13,32.43,709
91,03-05-2015,66101,1.379,43.51,31.55,701
92,28-06-2015,66571,1.325,47.29,35.69,470
93,12-08-2015,66896,1.299,33.40,25.71,325
94,18-08-2015,67396,1.279,45.89,35.88,500
